state,project_name,project_id,uei,project_description,project_type,priority_broadband_project,estimated_miles_aerial_fiber,estimated_miles_buried_fiber,estimated_jobs,estimated_subaward_date,estimated_performance_start,estimated_performance_end,intersect_tribal,tribal_consent_name,bead_support,fixed_amount_subaward,subgrantee_match,federal_match,state_match,other_match,federal_match_source,notes
NV,West Gate,CM61-BEAD-NV-CHU-0309-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve West Gate and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,1800.0,Y,600,,,,,
NV,Eastgate,CM61-BEAD-NV-CHU-0311-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Eastgate and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,1800.0,Y,600,,,,,
NV,Jessup,CM61-BEAD-NV-CHU-0313-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Jessup and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Lovelock Indian Caves,CM61-BEAD-NV-CHU-0314-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Lovelock Indian Caves and expects to have the project completed by 12/31/2026,L,N,0.0,0.0,1,9/3/2025,10/1/2025,12/31/2026,N,,7800.0,Y,0,,,,,
NV,Russell Spit,CM61-BEAD-NV-CHU-0315-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Russell Spit and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Drumm Summit,CM61-BEAD-NV-CHU-0316-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Drumm Summit and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,New Pass Well,CM61-BEAD-NV-CHU-0317-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve New Pass Well and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Carson Sink Southwest,CM61-BEAD-NV-CHU-0318-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Carson Sink Southwest and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Two Tips,CM61-BEAD-NV-CHU-0927-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Two Tips and expects to have the project completed by 12/31/2026,L,N,0.0,0.0,1,9/3/2025,10/1/2025,12/31/2026,N,,5400.0,Y,0,,,,,
NV,Fallon Paiute-Shoshone Reservation,CM61-BEAD-NV-CHU-0931-2,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Fallon Paiute Shoshone Reservation and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,Y,Fallon,9000.0,Y,3000,,,,,
NV,Lahontan Dam,CM61-BEAD-NV-CHU-0933-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Lahontan Dam and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,3000.0,Y,1000,,,,,
NV,Stillwater,CM61-BEAD-NV-CHU-0960-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Stillwater and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,Y,Fallon Colony,31200.0,Y,10400,,,,,
NV,Foxtail Lake,CM61-BEAD-NV-CHU-0961-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Foxtail Lake and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Silver Springs North,CM61-BEAD-NV-CHU-0962-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Silver Springs North and expects to have the project completed by 12/31/2026,L,N,0.0,0.0,1,9/3/2025,10/1/2025,12/31/2026,N,,600.0,Y,0,,,,,
NV,Upsal Hogback,CM61-BEAD-NV-CHU-0963-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Upsal Hogback and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,12000.0,Y,4000,,,,,
NV,Fallon Paiute-Shoshone Colony,CM61-BEAD-NV-CHU-0990-2,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Fallon Paiute Shoshone Colony and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,Y,Fallon,600.0,Y,200,,,,,
NV,Sheckler Reservoir,CM61-BEAD-NV-CHU-1014-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Sheckler Reservoir and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,2,9/3/2025,10/1/2025,1/31/2027,N,,28200.0,Y,9400,,,,,
NV,New Pass,CM61-BEAD-NV-CHU-1015-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve New Pass and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Fallon,CM61-BEAD-NV-CHU-1036-0,TH77JLEPMRA3,Hot Spot Broadband has been awarded to serve Fallon and expects to have the project completed by 11/30/2026,L,Y,0.0,0.0,18,9/3/2025,10/1/2025,11/30/2026,N,,18378417.38,Y,2764001,,,,,
NV,Bridge Canyon,CM61-BEAD-NV-CLA-0001-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Bridge Canyon and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,1200.0,Y,400,,,,,
NV,Moapa Valley,CM61-BEAD-NV-CLA-0003-0,EC32P4LXG6R3,Moapa Valley Telephone Company has been awarded to serve Moapa Valley and expects to have the project completed by 12/31/2029,L,Y,0.0,0.0,2,9/3/2025,10/1/2025,12/31/2029,N,,149080.25,Y,111294,,,,,
NV,Searchlight,CM61-BEAD-NV-CLA-0004-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Searchlight and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,5,9/3/2025,10/1/2025,1/31/2027,N,,11400.0,Y,3800,,,,,
NV,Indian Springs Southeast,CM61-BEAD-NV-CLA-0006-1,H5JUPMRB3KX6,Space Exploration Technologies Corp has been awarded to serve Indian Springs Southeast and expects to have the project completed by 1/1/2026,L,N,0.0,0.0,2,9/3/2025,10/1/2025,1/1/2026,N,,2250.0,Y,0,,,,,
NV,Mount Charleston,CM61-BEAD-NV-CLA-0007-1,R2RBP98L72N7,Stimulus Technologies of Nevada LLC has been awarded to serve Mount Charleston and expects to have the project completed by 11/30/2028,L,Y,0.0,0.0,3,9/3/2025,10/1/2025,11/30/2028,N,,2045878.99,Y,681959,,,,,
NV,Moapa Town,CM61-BEAD-NV-CLA-0008-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Moapa Town and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,1189.18,Y,14800,,,,,
NV,Garrett Butte,CM61-BEAD-NV-CLA-0009-0,EC32P4LXG6R3,Moapa Valley Telephone Company has been awarded to serve Garrett Butte and expects to have the project completed by 12/31/2029,L,Y,0.0,0.0,2,9/3/2025,10/1/2025,12/31/2029,N,,213873.5,Y,475144,,,,,
NV,Spirit Mountain Northwest,CM61-BEAD-NV-CLA-0010-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Spirit Mountain Northwest and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,2,9/3/2025,10/1/2025,1/31/2027,N,,1800.0,Y,600,,,,,
NV,Government Wash,CM61-BEAD-NV-CLA-0012-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Government Wash and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,1800.0,Y,600,,,,,
NV,Willow Peak,CM61-BEAD-NV-CLA-0013-1,R2RBP98L72N7,Stimulus Technologies of Nevada LLC has been awarded to serve Willow Peak and expects to have the project completed by 11/30/2028,L,Y,0.0,0.0,2,9/3/2025,10/1/2025,11/30/2028,N,,920887.69,Y,0,,,,,
NV,Charleston Peak,CM61-BEAD-NV-CLA-0014-1,R2RBP98L72N7,Stimulus Technologies of Nevada LLC has been awarded to serve Charleston Peak and expects to have the project completed by 11/30/2028,L,Y,0.0,0.0,3,9/3/2025,10/1/2025,11/30/2028,N,,1176447.28,Y,0,,,,,
NV,Wheeler Well,CM61-BEAD-NV-CLA-0015-1,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Wheeler Well and expects to have the project completed by 12/31/2026,L,N,0.0,0.0,1,9/3/2025,10/1/2025,12/31/2026,N,,800.0,Y,0,,,,,
NV,Pahrump Northeast,CM61-BEAD-NV-CLA-0016-1,R2RBP98L72N7,Stimulus Technologies of Nevada LLC has been awarded to serve Pahrump Northeast and expects to have the project completed by 11/30/2028,L,Y,0.0,0.0,3,9/3/2025,10/1/2025,11/30/2028,N,,694543.59,Y,0,,,,,
NV,Mountain Springs,CM61-BEAD-NV-CLA-0018-1,R2RBP98L72N7,Stimulus Technologies of Nevada LLC has been awarded to serve Mountain Springs and expects to have the project completed by 11/30/2028,L,Y,0.0,0.0,2,9/3/2025,10/1/2025,11/30/2028,N,,707037.22,Y,0,,,,,
NV,Apex,CM61-BEAD-NV-CLA-0020-1,H5JUPMRB3KX6,Space Exploration Technologies Corp has been awarded to serve Apex and expects to have the project completed by 1/1/2026,L,N,0.0,0.0,2,9/3/2025,10/1/2025,1/1/2026,N,,6000.0,Y,0,,,,,
NV,Corn Creek Springs Northwest,CM61-BEAD-NV-CLA-0021-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Corn Creek Springs Northwest and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,3,9/3/2025,10/1/2025,1/31/2027,N,,15000.0,Y,5000,,,,,
NV,Angel Peak,CM61-BEAD-NV-CLA-0022-1,H5JUPMRB3KX6,Space Exploration Technologies Corp has been awarded to serve Angel Peak and expects to have the project completed by 1/1/2026,L,N,0.0,0.0,5,9/3/2025,10/1/2025,1/1/2026,N,,29250.0,Y,0,,,,,
NV,McCullough Pass,CM61-BEAD-NV-CLA-0024-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve McCullough Pass and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,1200.0,Y,400,,,,,
NV,Jean,CM61-BEAD-NV-CLA-0025-0,R2RBP98L72N7,Stimulus Technologies of Nevada LLC has been awarded to serve Jean and expects to have the project completed by 11/30/2028,L,Y,0.0,0.0,2,9/3/2025,10/1/2025,11/30/2028,N,,412173.43,Y,0,,,,,
NV,Dry Lake Northwest,CM61-BEAD-NV-CLA-0028-0,R2RBP98L72N7,Stimulus Technologies of Nevada LLC has been awarded to serve Dry Lake Northwest and expects to have the project completed by 11/30/2028,L,Y,0.0,0.0,2,9/3/2025,10/1/2025,11/30/2028,N,,544877.02,Y,0,,,,,
NV,Boulder City Northwest,CM61-BEAD-NV-CLA-0029-0,H5JUPMRB3KX6,Space Exploration Technologies Corp has been awarded to serve Boulder City Northwest and expects to have the project completed by 1/1/2026,L,N,0.0,0.0,2,9/3/2025,10/1/2025,1/1/2026,N,,3750.0,Y,0,,,,,
NV,Nelson,CM61-BEAD-NV-CLA-0030-0,R2RBP98L72N7,Stimulus Technologies of Nevada LLC has been awarded to serve Nelson and expects to have the project completed by 11/30/2028,L,Y,0.0,0.0,3,9/3/2025,10/1/2025,11/30/2028,N,,961886.31,Y,327172,,,,,
NV,Cottonwood Pass,CM61-BEAD-NV-CLA-0034-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Cottonwood Pass and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,2400.0,Y,800,,,,,
NV,Juniper Mine,CM61-BEAD-NV-CLA-0035-0,R2RBP98L72N7,Stimulus Technologies of Nevada LLC has been awarded to serve Juniper Mine and expects to have the project completed by 11/30/2028,L,Y,0.0,0.0,2,9/3/2025,10/1/2025,11/30/2028,N,,931591.61,Y,310530,,,,,
NV,Gass Peak,CM61-BEAD-NV-CLA-0036-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Gass Peak and expects to have the project completed by 12/31/2026,L,N,0.0,0.0,1,9/3/2025,10/1/2025,12/31/2026,N,,600.0,Y,0,,,,,
NV,Overton Beach,CM61-BEAD-NV-CLA-0037-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Overton Beach and expects to have the project completed by 12/31/2026,L,N,0.0,0.0,1,9/3/2025,10/1/2025,12/31/2026,N,,7800.0,Y,0,,,,,
NV,Rox Northeast,CM61-BEAD-NV-CLA-0038-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Rox Northeast and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,2,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,23200,,,,,
NV,Whitney Pocket,CM61-BEAD-NV-CLA-0039-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Whitney Pocket and expects to have the project completed by 12/31/2026,L,N,0.0,0.0,1,9/3/2025,10/1/2025,12/31/2026,N,,600.0,Y,0,,,,,
NV,Hopps Well,CM61-BEAD-NV-CLA-0040-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Hopps Well and expects to have the project completed by 12/31/2026,L,N,0.0,0.0,2,9/3/2025,10/1/2025,12/31/2026,N,,600.0,Y,0,,,,,
NV,McCullough Mountain,CM61-BEAD-NV-CLA-0041-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve McCullough Mountain and expects to have the project completed by 12/31/2028,L,N,11.0,7.0,4,9/3/2025,10/1/2025,12/31/2028,N,,4200.0,Y,380331,,,,,
NV,Moapa Indian Arrow Canyon Southeast,CM61-BEAD-NV-CLA-0044-2,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Moapa Indian Arrow Canyon Southeast and expects to have the project completed by 12/31/2026,L,N,0.0,0.0,1,9/3/2025,10/1/2025,12/31/2026,Y,Moapa River,600.0,Y,0,,,,,
NV,Ireteba Peaks,CM61-BEAD-NV-CLA-0046-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Ireteba Peaks and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,2,9/3/2025,10/1/2025,1/31/2027,N,,2400.0,Y,800,,,,,
NV,Mount Manchester,CM61-BEAD-NV-CLA-0048-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Mount Manchester and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,Y,Fort Mojave,1800.0,Y,600,,,,,
NV,Sloan Northeast,CM61-BEAD-NV-CLA-0050-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Sloan Northeast and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,1200.0,Y,400,,,,,
NV,La Madre Spring,CM61-BEAD-NV-CLA-0051-1,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve La Madre Spring and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,1400.0,Y,200,,,,,
NV,Boulder City McCullough Pass,CM61-BEAD-NV-CLA-0052-0,H5JUPMRB3KX6,Space Exploration Technologies Corp has been awarded to serve Boulder City McCullough Pass and expects to have the project completed by 1/1/2026,L,N,0.0,0.0,4,9/3/2025,10/1/2025,1/1/2026,N,,5250.0,Y,0,,,,,
NV,Blue Diamond,CM61-BEAD-NV-CLA-0053-1,H5JUPMRB3KX6,Space Exploration Technologies Corp has been awarded to serve Blue Diamond and expects to have the project completed by 1/1/2026,L,N,0.0,0.0,2,9/3/2025,10/1/2025,1/1/2026,N,,6750.0,Y,0,,,,,
NV,La Madre Mountain,CM61-BEAD-NV-CLA-0054-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve La Madre Mountain and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,1800.0,Y,600,,,,,
NV,Callville Bay,CM61-BEAD-NV-CLA-0055-0,R2RBP98L72N7,Stimulus Technologies of Nevada LLC has been awarded to serve Callville Bay and expects to have the project completed by 11/30/2028,L,Y,0.0,0.0,2,9/3/2025,10/1/2025,11/30/2028,N,,998728.7,Y,0,,,,,
NV,Lost Cabin Spring,CM61-BEAD-NV-CLA-0061-1,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Lost Cabin Spring and expects to have the project completed by 12/31/2026,L,N,0.0,0.0,1,9/3/2025,10/1/2025,12/31/2026,N,,800.0,Y,0,,,,,
NV,East Homer Mountain,CM61-BEAD-NV-CLA-0069-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve East Homer Mountain and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Overton,CM61-BEAD-NV-CLA-0736-0,EC32P4LXG6R3,Moapa Valley Telephone Company has been awarded to serve Overton and expects to have the project completed by 6/30/2026,C,N,0.0,0.0,1,9/3/2025,10/1/2025,6/30/2026,N,,0.0,Y,1,,,,,
NV,Shenandoah Peak,CM61-BEAD-NV-CLA-0869-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Shenandoah Peak and expects to have the project completed by 1/31/2027,L,N,0.0,0.0,1,9/3/2025,10/1/2025,1/31/2027,N,,600.0,Y,200,,,,,
NV,Hobson,CM61-BEAD-NV-CLA-0871-0,R2RBP98L72N7,Stimulus Technologies of Nevada LLC has been awarded to serve Hobson and expects to have the project completed by 11/30/2028,L,Y,3.1,1.7,3,9/3/2025,10/1/2025,11/30/2028,N,,720543.42,Y,0,,,,,
NV,Davis Dam Southeast,CM61-BEAD-NV-CLA-0872-0,PX3CHN4WCPG3,Amazon Kuiper Commercial Services has been awarded to serve Davis Dam Southeast and expects to have the project completed by 6/30/2026,L,N,0.0,0.0,1,9/3/2025,10/1/2025,6/30/2026,N,,5400.0,Y,57308,,,,,
