type,entity_name,location_id,project_id,address_primary,city,state,zip_code,latitude,longitude,technology,upload_speed_anticipated,download_speed_anticipated,,
S,"VITA (Volunteer Instructors Teaching Adults), LSU AG Center",1287636736,CM61-BEAD-LA-330-2001,1105 W PORT ST,ABBEVILLE,LA,70510,29.974821090698242,-92.14569447,50,1000,1000,,1
F,OUACHITA PARISH FIRE PROTECTION DISTRICT 1 FIRE STATION 12,2000002232,CM61-BEAD-LA-DN-Multiple,3947 CAPLES RD,WEST MONROE,LA,71292,32.42828,-92.33537,61,20,100,,1
F,OUACHITA PARISH FIRE PROTECTION DISTRICT 1 STATION 8 CALHOUN,2000002434,CM61-BEAD-LA-330-2001,133 COWBOY RD,CALHOUN,LA,71225,32.5198,-92.32546,50,1000,1000,,1
F,OUACHITA PARISH FIRE PROTECTION DISTRICT 1 STATION 16 - CARLTON,2000002668,CM61-BEAD-LA-330-2001,1257 STATE HIGHWAY 151 N,CALHOUN,LA,71225,32.53664,-92.36019,50,1000,1000,,1
S,CALHOUN MIDDLE SCHOOL,2000003348,CM61-BEAD-LA-330-2001,191 HIGHWAY 80,CALHOUN,LA,71225,32.51204,-92.35452,50,1000,1000,,1
S,CALHOUN ELEMENTARY SCHOOL,2000003691,CM61-BEAD-LA-330-2001,237 CALHOUN RD,CALHOUN,LA,71225,32.51108,-92.36405,50,1000,1000,,1
F,OUACHITA PARISH FIRE PROTECTION DISTRICT 1 STATION 6 - CHENIERE,1310666427,CM61-BEAD-LA-330-2001,152 CHENIERE DREW RD,WEST MONROE,LA,71291,32.52079772949219,-92.24440765,50,1000,1000,,1
S,"Louisiana Delta Community College, West Monroe Campus",1310697311,CM61-BEAD-LA-330-2001,609 Vocational Parkway,West Monroe,LA,71292,32.5062186,-92.2810849,50,1000,1000,,1
S,ERATH HIGH SCHOOL,2000002249,CM61-BEAD-LA-330-2001,808 S BRDWAY,ERATH,LA,70533,29.95267,-92.03571,50,1000,1000,,1
F,ERATH VOLUNTEER FIRE DEPARTMENT,2000002279,CM61-BEAD-LA-330-2001,209 S KIBBE ST,ERATH,LA,70533,29.95756,-92.03604,50,1000,1000,,1
F,ABBEVILLE FIRE DEPARTMENT,2000002385,CM61-BEAD-LA-330-2001,210 W VERMILION ST,ABBEVILLE,LA,70510,29.9766,-92.13605,50,1000,1000,,1
L,VERMILION PARISH LIBRARY,2000002451,CM61-BEAD-LA-330-2001,111 W EDWARD ST,ERATH,LA,70533,29.95741,-92.03512,50,1000,1000,,1
H,VERMILION PARISH HEALTH UNIT,2000002613,CM61-BEAD-LA-330-2001,2501 CHARITY ST,ABBEVILLE,LA,70510,29.97197,-92.10641,50,1000,1000,,1
F,VERMILION PARISH FIRE PROTECTION DISTRICT 13,2000002763,CM61-BEAD-LA-330-2001,18838 W STATE 82,ABBEVILLE,LA,70510,29.97418,-92.1356,50,1000,1000,,1
S,DELCAMBRE HIGH SCHOOL,2000002788,CM61-BEAD-LA-DN-Multiple,601 W MAIN ST,DELCAMBRE,LA,70528,29.94828,-91.99213,61,20,100,,1
S,VERMILION CATHOLIC HIGH SCHOOL,2000002850,CM61-BEAD-LA-330-2001,425 PARK AVE,ABBEVILLE,LA,70510,29.97941,-92.14043,50,1000,1000,,1
S,JAMES A. HEROD ELEMENTARY SCHOOL,2000002898,CM61-BEAD-LA-330-2001,120 ODEA ST,ABBEVILLE,LA,70510,29.97256,-92.10959,50,1000,1000,,1
F,VERMILION PARISH JAIL,2000002905,CM61-BEAD-LA-330-2001,14202 SAVOY RD,ABBEVILLE,LA,70510,29.9494,-92.09007,50,1000,1000,,1
S,DOZIER ELEMENTARY SCHOOL,2000002948,CM61-BEAD-LA-330-2001,415 W PRIMEAUX,ERATH,LA,70533,29.956,-92.0385,50,1000,1000,,1
F,HENRY VOLUNTEER FIRE DEPARTMENT,2000002955,CM61-BEAD-LA-330-2001,5010 FRANK RD,ERATH,LA,70533,29.90483,-92.05624,50,1000,1000,,1
F,ERATH VOLUNTEER FIRE DEPARTMENT,2000003119,CM61-BEAD-LA-330-2001,503 E VETERANS MEMORIAL DR,ERATH,LA,70533,29.96191,-92.02724,50,1000,1000,,1
L,DELCAMBRE BRANCH LIBRARY INC,2000003149,CM61-BEAD-LA-DN-Multiple,206 W MAIN ST,DELCAMBRE,LA,70528,29.94855,-91.98942,61,20,100,,1
S,J.H. WILLIAMS MIDDLE SCHOOL,2000003227,CM61-BEAD-LA-330-2001,1105 PRAIRIE AVE,ABBEVILLE,LA,70510,29.97495,-92.12518,50,1000,1000,,1
F,VERMILION PARISH SHERIFFS DEPARTMENT,2000003268,CM61-BEAD-LA-330-2001,101 S STATE ST,ABBEVILLE,LA,70510,29.97364,-92.1356,50,1000,1000,,1
F,ERATH POLICE DEPARTMENT,2000003549,CM61-BEAD-LA-330-2001,114 W BOURQUE ST,ERATH,LA,70533,29.9568,-92.03507,50,1000,1000,,1
S,DELCAMBRE ELEMENTARY SCHOOL,2000003799,CM61-BEAD-LA-DN-Multiple,706 MARTIN LUTHER KING DR,DELCAMBRE,LA,70528,29.95121,-91.99403,61,20,100,,1
F,ACADIAN AMBULANCE SERVICE INCORPORATED - ABBEVILLE STATION,2000003920,CM61-BEAD-LA-330-2001,218 W SUMMERS DR,ABBEVILLE,LA,70510,29.98316,-92.133,50,1000,1000,,1
F,PIERRE PART VOLUNTEER FIRE AND RESCUE STATION 1,2000002649,CM61-BEAD-LA-DN-Multiple,2552 LEE DR,PIERRE PART,LA,70339,29.99138,-91.19322,61,20,100,,1
S,PIERRE PART ELEMENTARY SCHOOL,2000003269,CM61-BEAD-LA-DN-Multiple,3321 HIGHWAY 70,PIERRE PART,LA,70339,29.96205,-91.21174,61,20,100,,1
L,ASSUMPTION PARISH LIBRARY,2000003415,CM61-BEAD-LA-DN-Multiple,1214 HIGHWAY 662,MORGAN CITY,LA,70380,29.71955,-91.06874,61,20,100,,1
F,PIERRE PART - BELLE RIVER VOLUNTEER FIRE DEPARTMENT STATION 3,2000003434,CM61-BEAD-LA-DN-Multiple,138 SHELL BEACH RD,PIERRE PART,LA,70339,29.91037,-91.19691,61,20,100,,1
F,BAYOU L'OURSE VOLUNTEER FIRE DEPARTMENT,2000003500,CM61-BEAD-LA-DN-Multiple,333 STATE HIGHWAY 663,MORGAN CITY,LA,70380,29.72036,-91.07306,61,20,100,,1
S,BAYOU L'OURSE PRIMARY SCHOOL,2000003645,CM61-BEAD-LA-DN-Multiple,1397 HIGHWAY 662,MORGAN CITY,LA,70380,29.71361,-91.07739,61,20,100,,1
F,PAINCOURTVILLE VOLUNTEER FIRE DEPARTMENT STATION 3,2000003806,CM61-BEAD-LA-DN-Multiple,838 STATE HIGHWAY 70,BELLE ROSE,LA,70341,30.01213,-91.11426,61,20,100,,1
F,ACADIAN AMBULANCE SERVICE INCORPORATED - ARNAUDVILLE STATION,2000002203,CM61-BEAD-LA-DN-Multiple,111 RUE DE JAUSIERS AVE,ARNAUDVILLE,LA,70512,30.39678,-91.93554,61,20,100,,1
F,CRANKTON VOLUNTEER FIRE DEPARTMENT STATION 2,2000002284,CM61-BEAD-LA-DN-Multiple,189 CREDEUR RD,SUNSET,LA,70584,30.34312,-92.10558,61,20,100,,1
F,CANKTON VOLUNTEER FIRE DEPARTMENT,2000002298,CM61-BEAD-LA-DN-Multiple,107 DANDURAND RD,CANKTON,LA,70584,30.34484,-92.11036,61,20,100,,1
S,KROTZ SPRINGS ELEMENTARY SCHOOL,2000002301,CM61-BEAD-LA-DN-Multiple,445 DIVISION ST,KROTZ SPRINGS,LA,70750,30.53781,-91.75609,61,20,100,,1
F,PORT BARRE FIRE DEPARTMENT,2000002733,CM61-BEAD-LA-DN-Multiple,514 SAIZAN ST,PORT BARRE,LA,70577,30.55559,-91.9576,61,20,100,,1
F,SAINT LANDRY PARISH FIRE PROTECTION DISTRICT 1,2000003768,CM61-BEAD-LA-DN-Multiple,313 DIVISION ST,KROTZ SPRINGS,LA,70750,30.53798,-91.75346,61,20,100,,1
F,ARNAUDVILLE POLICE DEPARTMENT,2000003837,CM61-BEAD-LA-DN-Multiple,107 RUE DE JAUSIERS AVE,ARNAUDVILLE,LA,70512,30.39642,-91.93539,61,20,100,,1
F,KROTZ SPRINGS POLICE DEPARTMENT,2000003211,CM61-BEAD-LA-DN-Multiple,224 MAIN ST,KROTZ SPRINGS,LA,70750,30.53692,-91.75222,61,20,100,,1
F,PORT BARRE POLICE DEPARTMENT,2000003311,CM61-BEAD-LA-DN-Multiple,498 SAIZAN AVE,PORT BARRE,LA,70577,30.55602,-91.95702,61,20,100,,1
S,BEAU CHENE HIGH SCHOOL,2000003385,CM61-BEAD-LA-DN-Multiple,7076 HIGHWAY 93,ARNAUDVILLE,LA,70512,30.40599,-92.00143,61,20,100,,1
S,J.S. AUCOIN ELEMENTARY SCHOOL,2000002438,CM61-BEAD-LA-DN-Multiple,739 JULIA ST,AMELIA,LA,70340,29.6639,-91.1039,61,20,100,,1
F,BELLE RIVER VOLUNTEER FIRE DEPARTMENT,2000002684,CM61-BEAD-LA-DN-Multiple,1207A STATE HIGHWAY 70,MORGAN CITY,LA,70380,29.7235,-91.18945,61,20,100,,1
L,ST MARY PARISH LIBRARY,2000002936,CM61-BEAD-LA-DN-Multiple,625 LAKE PALOURDE RD,AMELIA,LA,70340,29.66538,-91.10265,61,20,100,,1
S,PORT BARRE MIDDLE SCHOOL,2000003210,CM61-BEAD-LA-DN-Multiple,846 SAIZAN ST,PORT BARRE,LA,70577,30.5607,-91.95425,61,20,100,,1
L,BRANCH DERIDDER,1028495898,CM61-BEAD-LA-331-2003,1527 N PINE ST,DERIDDER,LA,70634,30.873577117919922,-93.28549194,50,1000,1000,,1
F,BEAUREGARD VOLUNTEER FIRE PROTECTION DISTRICT 4 THREE PINE STATION,1028493737,CM61-BEAD-LA-331-2003,354 THREE PINE CHURCH RD,DERIDDER,LA,70634,30.854713439941406,-93.20954895,50,1000,1000,,1
S,CARVER ELEMENTARY SCHOOL,1028506092,CM61-BEAD-LA-331-2003,220 MARTIN LUTHER KING DR,DERIDDER,LA,70634,30.844017028808594,-93.27270508,50,1000,1000,,1
F,DERIDDER FIRE DEPARTMENT - NORTH SIDE STATION,1028496886,CM61-BEAD-LA-331-2003,1809 N PINE ST,DERIDDER,LA,70634,30.87879753112793,-93.28553009,50,1000,1000,,1
H,BEAUREGARD PARISH HEALTH UNIT,1028497346,CM61-BEAD-LA-331-2003,216 EVANGELINE ST,DERIDDER,LA,70634,30.849040985107422,-93.27342987,50,1000,1000,,1
F,DERIDDER FIRE DEPARTMENT EASTSIDE STATION,1028497540,CM61-BEAD-LA-331-2003,201 MARTIN LUTHER KING DR,DERIDDER,LA,70634,30.845340728759766,-93.2715683,50,1000,1000,,1
S,LYNN OAKS SCHOOL,1039114157,CM61-BEAD-LA-331-2003,1 LYNN OAKS DR,BRAITHWAITE,LA,70040,29.86379623413086,-89.89380646,50,1000,1000,,1
F,SAINT BERNARD PARISH FIRE DISTRICT ENGINE 8,1039118946,CM61-BEAD-LA-331-2003,613 BAYOU RD,SAINT BERNARD,LA,70085,29.868167877197266,-89.87503052,50,1000,1000,,1
L,DUCROS MUSEUM & LIBRARY,1039120408,CM61-BEAD-LA-331-2003,1345 BAYOU RD,SAINT BERNARD,LA,70085,29.867992401123047,-89.86023712,50,1000,1000,,1
S,W. SMITH JR. ELEMENTARY SCHOOL,1039121011,CM61-BEAD-LA-331-2003,6701 ST BERNARD HIGHWAY,VIOLET,LA,70092,29.889972686767578,-89.89618683,50,1000,1000,,1
H,Ochsner Health Center - Belle Chasse,1056515129,CM61-BEAD-LA-331-2003,"7772 Highway 23, Suite A",Belle Chasse,LA,70037,29.8642324,-89.9989626,50,1000,1000,,1
F,PLAQUEMINES PARISH FIRE DISTRICT 2 BELLE CHASSE VOLUNTEER FIRE DEPARTMENT STATION 2,1056517662,CM61-BEAD-LA-331-2003,216 ENGINEERS RD,BELLE CHASSE,LA,70037,29.873281478881836,-90.01399994,50,1000,1000,,1
F,EASTERN LOUISIANA MENTAL HEALTH SYSTEM FIRE DEPARTMENT,1059504291,CM61-BEAD-LA-331-2003,4502 STATE HIGHWAY 951,JACKSON,LA,70748,30.832820892333984,-91.21183777,50,1000,1000,,1
F,JACKSON VOLUNTEER FIRE DEPARTMENT,1059504719,CM61-BEAD-LA-331-2003,1631 CHARTER ST,JACKSON,LA,70748,30.83736801147461,-91.21562195,50,1000,1000,,1
S,EAST FELICIANA HIGH SCHOOL,1059505201,CM61-BEAD-LA-331-2003,3501 HIGHWAY 10,JACKSON,LA,70748,30.834735870361328,-91.18819427,50,1000,1000,,1
F,ETHEL VOLUNTEER FIRE DEPARTMENT,1059505721,CM61-BEAD-LA-331-2003,9320 STATE HIGHWAY 955 E,ETHEL,LA,70730,30.771137237548828,-91.07118225,50,1000,1000,,1
F,PLAQUEMINES PARISH FIRE DISTRICT 5 BOOTHVILLE VENICE FIRE DEPARTMENT,1056514114,CM61-BEAD-LA-331-2003,42661 STATE HIGHWAY 23,VENICE,LA,70091,29.280567169189453,-89.35954285,50,1000,1000,,1
F,PLAQUEMINES PARISH AMBULANCE DEPARTMENT - BELLE CHASSE STATION,1056510882,CM61-BEAD-LA-331-2003,3712 MAIN ST,BELLE CHASSE,LA,70037,29.88812255859375,-89.97389221,50,1000,1000,,1
F,ACADIAN AMBULANCE SERVICE INCORPORATED - CLINTON STATION,1059510191,CM61-BEAD-LA-331-2003,10390 STATE HIGHWAY 10,ETHEL,LA,70730,30.858722686767578,-91.05033875,50,1000,1000,,1
S,"Baton Rouge Community College, Folkes Campus",1059510406,CM61-BEAD-LA-331-2003,3337 HIGHWAY 10,JACKSON,LA,70748,30.83528054,-91.193317,50,1000,1000,,1
F,WEST BATON ROUGE FIRE SUB - DISTRICT 4 / LOBDELL VOLUNTEER FIRE DEPARTMENT,1067120525,CM61-BEAD-LA-331-2003,2937 LAFITON LANE,PORT ALLEN,LA,70767,30.47754669189453,-91.24694061,50,1000,1000,,1
S,CHAMBERLIN ELEMENTARY SCHOOL,1067120697,CM61-BEAD-LA-331-2003,6024 SECTION RD,PORT ALLEN,LA,70767,30.53546142578125,-91.29618835,50,1000,1000,,1
S,DEVALL MIDDLE SCHOOL,1067124918,CM61-BEAD-LA-331-2003,11851 N RIVER RD,PORT ALLEN,LA,70767,30.54075050354004,-91.29340363,50,1000,1000,,1
S,HOLY FAMILY CATHOLIC SCHOOL,1067125382,CM61-BEAD-LA-331-2003,368 N JEFFERSON AVE,PORT ALLEN,LA,70767,30.455101013183594,-91.20483398,50,1000,1000,,1
S,LULING ELEMENTARY SCHOOL,1064539153,CM61-BEAD-LA-331-2003,904 SUGARHOUSE RD,LULING,LA,70070,29.92247200012207,-90.36805725,50,1000,1000,,1
S,NORCO ELEMENTARY SCHOOL,1064539501,CM61-BEAD-LA-331-2003,102 FIFTH ST,NORCO,LA,70079,30.009117126464844,-90.42073822,50,1000,1000,,1
S,MIMOSA PARK ELEMENTARY SCHOOL,1064539540,CM61-BEAD-LA-331-2003,222 BIRCH ST,LULING,LA,70070,29.909452438354492,-90.35114288,50,1000,1000,,1
F,BRUSLY VOLUNTEER FIRE DEPARTMENT,1067123579,CM61-BEAD-LA-331-2003,2141 ANTONIO RD,PORT ALLEN,LA,70767,30.405649185180664,-91.22914124,50,1000,1000,,1
L,ST CHARLES PARISH LIBRARY,1064573719,CM61-BEAD-LA-331-2003,197 GOOD HOPE ST,NORCO,LA,70079,30.001880645751953,-90.41051483,50,1000,1000,,1
S,HOLY FAMILY SCHOOL,1067121248,CM61-BEAD-LA-331-2003,335 N JEFFERSON AVE,PORT ALLEN,LA,70767,30.45497703552246,-91.20652771,50,1000,1000,,1
F,ACADIAN AMBULANCE SERVICE INCORPORATED - PORT ALLEN STATION,1067126720,CM61-BEAD-LA-331-2003,1880 COURT ST,PORT ALLEN,LA,70767,30.45199203491211,-91.22601318,50,1000,1000,,1
F,WEST BATON ROUGE PARISH JAIL,1067123518,CM61-BEAD-LA-331-2003,1150 NW DR,PORT ALLEN,LA,70767,30.501197814941406,-91.21641541,50,1000,1000,,1
F,WEST BATON ROUGE FIRE SUB - DISTRICT 1 / ADDIS VOLUNTEER FIRE DEPARTMENT STATION 2,1067122429,CM61-BEAD-LA-331-2003,4372 MAIN ST,ADDIS,LA,70710,30.353849411010742,-91.26742554,50,1000,1000,,1
F,WEST BATON ROUGE PARISH SHERIFFS DEPARTMENT,1067122941,CM61-BEAD-LA-331-2003,850 8TH ST,PORT ALLEN,LA,70767,30.45903778076172,-91.20632935,50,1000,1000,,1
F,WEST BATON ROUGE FIRE SUB - DISTRICT 3 / PORT ALLEN FIRE DEPARTMENT STATION 3,1067127239,CM61-BEAD-LA-331-2003,5080 ROSEDALE RD,PORT ALLEN,LA,70767,30.46881103515625,-91.27883911,50,1000,1000,,1
F,PORT ALLEN POLICE DEPARTMENT,1067127816,CM61-BEAD-LA-331-2003,375 COURT ST,PORT ALLEN,LA,70767,30.452341079711914,-91.20402527,50,1000,1000,,1
F,BRUSLY POLICE DEPARTMENT,1067128131,CM61-BEAD-LA-331-2003,150 E SAINT FRANCIS ST,BRUSLY,LA,70719,30.385801315307617,-91.24456787,50,1000,1000,,1
F,WEST BATON ROUGE FIRE SUB - DISTRICT 3 / PORT ALLEN FIRE DEPARTMENT STATION 2,1067128339,CM61-BEAD-LA-331-2003,2616 COURT ST,PORT ALLEN,LA,70767,30.451377868652344,-91.23971558,50,1000,1000,,1
F,WEST BATON ROUGE FIRE SUB - DISTRICT 1 / ADDIS VOLUNTEER FIRE DEPARTMENT STATION 1,1067128402,CM61-BEAD-LA-331-2003,4343 HARRIS ST,ADDIS,LA,70710,30.354598999023438,-91.26603699,50,1000,1000,,1
F,EAST FELICIANA PARISH SHERIFFS DEPARTMENT,1059504183,CM61-BEAD-LA-331-2003,11315 BANK ST,CLINTON,LA,70722,30.86621094,-91.01842499,50,1000,1000,,1
F,WASHINGTON PARISH FIRE DISTRICT 8,1083178700,CM61-BEAD-LA-331-2003,17172 LEE RD,FRANKLINTON,LA,70438,30.773521423339844,-90.06269073,50,1000,1000,,1
P,Housing Authority-Bogalusa,1083163689,CM61-BEAD-LA-331-2003,1015 UNION AVE,BOGALUSA,LA,70427,30.79443932,-89.87766221,50,1000,1000,,1
H,ST. CHARLES PARISH HOSPITAL,1064538379,CM61-BEAD-LA-331-2003,1057 PAUL MAILLARD RD,LULING,LA,70070,29.92418098449707,-90.37097931,50,1000,1000,,1
F,STONEWALL POLICE DEPARTMENT,1096078649,CM61-BEAD-LA-331-2003,1318 UNITED STATES HIGHWAY 171,STONEWALL,LA,71078,32.28116226196289,-93.82331085,50,1000,1000,,1
S,"River Parishes Community College, St. Charles Campus",1064559241,CM61-BEAD-LA-331-2003,13145 HIGHWAY 90,BOUTTE,LA,70039,29.90348136,-90.37768943,50,1000,1000,,1
F,ADDIS VOLUNTEER FIRE DEPARTMENT STATION 3 MAIN STATION,1067121796,CM61-BEAD-LA-331-2003,6875 STATE HIGHWAY 1 S,ADDIS,LA,70710,30.36981964111328,-91.2563858,50,1000,1000,,1
S,LUKEVILLE UPPER ELEMENTARY,1067121861,CM61-BEAD-LA-331-2003,6123 HIGHWAY 1 S,BRUSLY,LA,70719,30.381851196289062,-91.24726105,50,1000,1000,,1
S,CENTRAL ELEMENTARY SCHOOL,1144383730,CM61-BEAD-LA-331-2003,5701 HIGHWAY 531,DUBBERLY,LA,71024,32.48094559,-93.23612213,50,1000,1000,,1
F,PLAQUEMINE FIRE DEPARTMENT - NORTHSIDE STATION,1287239602,CM61-BEAD-LA-331-2003,23090 JACOB ST,PLAQUEMINE,LA,70764,30.296485900878906,-91.2386322,50,1000,1000,,1
H,WEST BATON ROUGE PARISH HEALTH DEPARTMENT,1067130641,CM61-BEAD-LA-331-2003,685 LOUISIANA AVE,PORT ALLEN,LA,70767,30.459823608398438,-91.20806122,50,1000,1000,,1
F,BOGALUSA FIRE DEPARTMENT STATION 1,1083162446,CM61-BEAD-LA-331-2003,200 ARKANSAS AVE,BOGALUSA,LA,70427,30.78613281,-89.86127472,50,1000,1000,,1
L,WASHINGTON PARISH LIBRARY SYS,1083168245,CM61-BEAD-LA-331-2003,304 AVE F,BOGALUSA,LA,70427,30.779888153076172,-89.86981201,50,1000,1000,,1
H,OUR LADY OF THE ANGELS HOSPITAL,1083168280,CM61-BEAD-LA-331-2003,433 PLAZA ST,BOGALUSA,LA,70427,30.778358459472656,-89.8693924,50,1000,1000,,1
F,WASHINGTON PARISH FIRE DISTRICT 7 STATION 2,1083170770,CM61-BEAD-LA-331-2003,17380 BILL BOOTY RD,BOGALUSA,LA,70427,30.777761459350586,-89.91529083,50,1000,1000,,1
S,FRANKLINTON JUNIOR HIGH SCHOOL,1083177509,CM61-BEAD-LA-331-2003,617 MAIN ST,FRANKLINTON,LA,70438,30.849857330322266,-90.15789795,50,1000,1000,,1
L,WASHINGTON PARISH LIBRARY SYS,1083177538,CM61-BEAD-LA-331-2003,825 FREE ST,FRANKLINTON,LA,70438,30.849136352539062,-90.15943909,50,1000,1000,,1
F,EMERGYSTAT AMBULANCE SERVICE,1083186834,CM61-BEAD-LA-331-2003,1906 WASHINGTON ST,FRANKLINTON,LA,70438,30.846298217773438,-90.14138031,50,1000,1000,,1
H,RIVERSIDE MEDICAL CENTER,1083187442,CM61-BEAD-LA-331-2003,1900 S MAIN ST,FRANKLINTON,LA,70438,30.834129333496094,-90.15286255,50,1000,1000,,1
S,YOUNG AUDIENCES CHARTER HIGH SCHOOL,1313974460,CM61-BEAD-LA-331-2003,418 4TH ST,GRETNA,LA,70053,29.917926788330078,-90.06118774,50,1000,1000,,1
H,Ochsner LSU Health Shreveport – Spring Lake,1314543643,CM61-BEAD-LA-331-2003,819 W ESPLANADE AVE,KENNER,LA,70065,30.02040006,-90.25772844,50,1000,1000,,1
L,PARISH OF JEFFERSON,1315468346,CM61-BEAD-LA-331-2003,630 W ESPLANADE AVE,KENNER,LA,70065,30.022287368774414,-90.25943756,50,1000,1000,,1
F,EAST JEFFERSON PARISH LEVEE DISTRICT OFFICE POLICE DEPARTMENT,1316198308,CM61-BEAD-LA-331-2003,1135 LESAN DR,KENNER,LA,70062,29.986530303955078,-90.27893829,50,1000,1000,,1
S,WOODLAWN ELEMENTARY SCHOOL,1310700909,CM61-BEAD-LA-331-2003,5946 JONESBORO RD,WEST MONROE,LA,71292,32.413272857666016,-92.21559906,50,1000,1000,,1
S,WALTER L. COHEN COLLEGE PREP,1353936575,CM61-BEAD-LA-331-2003,3520 DRYADES ST,NEW ORLEANS,LA,70115,29.930126190185547,-90.09421539,50,1000,1000,,1
L,CITY OF NEW ORLEANS,1353925106,CM61-BEAD-LA-331-2003,1401 S CARROLLTON AVE,NEW ORLEANS,LA,70118,29.94856834411621,-90.12776947,50,1000,1000,,1
S,NOBLE MINDS,1353952218,CM61-BEAD-LA-331-2003,1333 S CARROLLTON AVE,NEW ORLEANS,LA,70118,29.94820213317871,-90.12822723,50,1000,1000,,1
S,LUSHER CHARTER SCHOOL,1353953843,CM61-BEAD-LA-331-2003,5624 FRERET ST,NEW ORLEANS,LA,70115,29.935222625732422,-90.11444855,50,1000,1000,,1
