type,entity_name,location_id,project_id,address_primary,city,state,zip_code,latitude,longitude,technology,upload_speed_anticipated,download_speed_anticipated
F,Carlin Fire Station,1297898350,CM61-BEAD-NV-ELK-0786-0,121 HAMILTON ST,CARLIN,NV,89822,40.711454,-116.115263,50,2000,2000
P,CAROL HAYNES APTS,1371015721,CM61-BEAD-NV-CLA-0967-0,5160 GENERAL MILES WAY,LAS VEGAS,NV,89122,36.117399,-115.06108,71,2000,2000
G,Carson City Courthouse,1287892408,CM61-BEAD-NV-CAR-1011-1,198 N CARSON ST,CARSON CITY,NV,89701,39.164283,-119.76733,71,5000,5000
F,Carson City Fire Department,1287885487,CM61-BEAD-NV-CAR-1011-1,648 LITTLE LN,CARSON CITY,NV,89701,39.15819,-119.763477,71,5000,5000
G,Carson City Hall,1287892698,CM61-BEAD-NV-CAR-1011-1,201 N CARSON ST,CARSON CITY,NV,89701,39.164895,-119.766548,71,5000,5000
C,Carson City Juvenile Court,1287889141,CM61-BEAD-NV-CAR-1011-1,1545 E FIFTH ST,CARSON CITY,NV,89701,39.160671,-119.751435,71,5000,5000
G,Carson City Sheriff's Office,1287905041,CM61-BEAD-NV-CAR-1011-1,911 E MUSSER ST,CARSON CITY,NV,89701,39.163648,-119.760015,71,5000,5000
H,Carson Tahoe Health Dayton Medical Center,1103985663,CM61-BEAD-NV-LYO-0911-0,901 MEDICAL CENTER DR,DAYTON,NV,89403,39.268961,-119.574825,50,5000,5000
C,Casa Grande Transitional Housing Center,1371433551,CM61-BEAD-NV-CLA-0970-1,3925 W RUSSELL RD,LAS VEGAS,NV,89118,36.085754,-115.192291,40,2000,2000
P,CASA OLIVA APTS,1370963287,CM61-BEAD-NV-CLA-0967-0,3209 CEDAR ST,LAS VEGAS,NV,89104,36.155771,-115.105173,71,2000,2000
C,Churchill County Juvenile Justice Center,1066332917,CM61-BEAD-NV-CHU-1036-0,335 N BROADWAY ST,FALLON,NV,89406,39.479126,-118.774546,50,5000,5000
P,CIMARRON VILLAGE,1394133406,CM61-BEAD-NV-ELK-0794-0,550 CIMARRON WAY BLDG 2,ELKO,NV,89801,40.834159,-115.782089,50,2000,2000
F,City of Ely Fire Department,1050918592,CM61-BEAD-NV-WHI-0991-1,1780 GREAT BASIN BLVD,ELY,NV,89301,39.24231,-114.867756,50,1000,1000
F,City of Las Vegas Fire Station Number 2,1370996697,CM61-BEAD-NV-CLA-0970-1,900 S DURANGO DR,LAS VEGAS,NV,89145,36.161687,-115.278423,40,2000,2000
F,City of Las Vegas Fire Station Number 4,1370875780,CM61-BEAD-NV-CLA-0967-0,421 S 15TH ST,LAS VEGAS,NV,89101,36.159991,-115.131527,71,2000,2000
F,City of Las Vegas Fire Station Number 41,1371123153,CM61-BEAD-NV-CLA-0997-1,6989 N BUFFALO DR,LAS VEGAS,NV,89131,36.286896,-115.260925,71,2200,2200
F,City of Las Vegas Fire Station Number 42,1371371243,CM61-BEAD-NV-CLA-0970-1,7331 W CHEYENNE AVE,LAS VEGAS,NV,89129,36.217854,-115.2528,40,2000,2000
F,City of Las Vegas Fire Station Number 43,1371217387,CM61-BEAD-NV-CLA-0970-1,6420 SMOKE RANCH RD,LAS VEGAS,NV,89108,36.203643,-115.23402,40,2000,2000
F,City of Las Vegas Fire Station Number 44,1371147295,CM61-BEAD-NV-CLA-0970-1,7701 W WASHINGTON AVE,LAS VEGAS,NV,89128,36.180962,-115.262349,40,2000,2000
F,City of Las Vegas Fire Station Number 45,1370970820,CM61-BEAD-NV-CLA-0970-1,3821 N FORT APACHE RD,LAS VEGAS,NV,89129,36.230498,-115.298126,40,2000,2000
F,City of Las Vegas Fire Station Number 7,1371283132,CM61-BEAD-NV-CLA-0970-1,10101 BANBURRY CROSS DR,LAS VEGAS,NV,89144,36.181814,-115.315414,40,2000,2000
F,City of Las Vegas Fire Station Number 8,1371416011,CM61-BEAD-NV-CLA-0967-0,3010 HARRIS AVE,LAS VEGAS,NV,89101,36.178223,-115.106953,71,2000,2000
F,City of Las Vegas Fire Station Number 9,1371476986,CM61-BEAD-NV-CLA-0970-1,4747 N RAINBOW BLVD,LAS VEGAS,NV,89108,36.247377,-115.242691,40,2000,2000
F,Clark County Fire Department,1371502812,CM61-BEAD-NV-CLA-0967-0,5210 S PECOS RD,LAS VEGAS,NV,89120,36.095459,-115.10049,71,2000,2000
F,Clark County Fire Station #29,1371303084,CM61-BEAD-NV-CLA-0969-1,7530 PARADISE RD,LAS VEGAS,NV,89123,36.053149,-115.14016,71,2000,2000
F,Clark County Fire Station 23,1371473153,CM61-BEAD-NV-CLA-0967-0,4250 E ALEXANDER RD,LAS VEGAS,NV,89115,36.233106,-115.081547,71,2000,2000
F,Clark County Fire Station 24,1371362141,CM61-BEAD-NV-CLA-0969-1,7525 DEAN MARTIN DR,LAS VEGAS,NV,89139,36.053001,-115.184054,71,2000,2000
F,Clark County Fire Station 65,1371191629,CM61-BEAD-NV-CLA-0969-1,3825 W STARR AVE,LAS VEGAS,NV,89141,35.984352,-115.190273,71,2000,2000
F,Clark County Fire Station 87,1371563672,CM61-BEAD-NV-CLA-0025-0,20400 S LAS VEGAS BLVD,JEAN,NV,89019,35.77371,-115.32665,50,1000,1000
F,Clark County Fire Station Number 11,1371506587,CM61-BEAD-NV-CLA-0970-1,5150 LAS VEGAS BLVD S,LAS VEGAS,NV,89119,36.083293,-115.173846,40,2000,2000
F,Clark County Fire Station Number 12,1371113892,CM61-BEAD-NV-CLA-0967-0,3050 SAMMY DAVIS JR DR,LAS VEGAS,NV,89109,36.133607,-115.171152,71,2000,2000
F,Clark County Fire Station Number 13,1370914105,CM61-BEAD-NV-CLA-0970-1,5795 PARADISE RD BLDG 3,LAS VEGAS,NV,89119,36.082424,-115.156531,40,2000,2000
F,Clark County Fire Station Number 14,1371206926,CM61-BEAD-NV-CLA-0967-0,3260 TOPAZ ST,LAS VEGAS,NV,89121,36.130804,-115.113787,71,2000,2000
F,Clark County Fire Station Number 15,1371454916,CM61-BEAD-NV-CLA-0970-1,3480 S VALLEY VIEW BLVD,LAS VEGAS,NV,89102,36.127239,-115.18964,40,2000,2000
F,Clark County Fire Station Number 18,1371174328,CM61-BEAD-NV-CLA-0967-0,575 E FLAMINGO RD,LAS VEGAS,NV,89119,36.114278,-115.151026,71,2000,2000
F,Clark County Fire Station Number 21,1371265787,CM61-BEAD-NV-CLA-0970-1,5015 W OQUENDO RD,LAS VEGAS,NV,89118,36.082208,-115.20941,40,2000,2000
F,Clark County Fire Station Number 22,1371220038,CM61-BEAD-NV-CLA-0970-1,6745 W FLAMINGO RD,LAS VEGAS,NV,89103,36.114095,-115.239137,40,2000,2000
F,Clark County Fire Station Number 26,1371523673,CM61-BEAD-NV-CLA-0970-1,4030 S EL CAPITAN WAY,LAS VEGAS,NV,89147,36.116421,-115.287522,40,2000,2000
F,Clark County Fire Station Number 27,1371090694,CM61-BEAD-NV-CLA-0967-0,4695 VEGAS VALLEY DR,LAS VEGAS,NV,89121,36.136496,-115.072539,71,2000,2000
F,Clark County Fire Station Number 28,1371482591,CM61-BEAD-NV-CLA-0970-1,10820 W SAHARA AVE,LAS VEGAS,NV,89135,36.144997,-115.329409,40,2000,2000
F,Clark County Fire Station Number 31,1370988890,CM61-BEAD-NV-CLA-0967-0,2190 S HOLLYWOOD BLVD,LAS VEGAS,NV,89142,36.147897,-115.028666,71,2000,2000
F,Clark County Fire Station Number 34,1371424712,CM61-BEAD-NV-CLA-0969-1,8675 W OQUENDO RD,LAS VEGAS,NV,89148,36.081076,-115.280992,71,2000,2000
F,Clark County Fire Station Number 38,1370961906,CM61-BEAD-NV-CLA-0969-1,1755 SILVER HAWK AVE,LAS VEGAS,NV,89123,36.021833,-115.128005,71,2000,2000
F,Clark County Fire Station Number 73,1371591871,CM61-BEAD-NV-CLA-0003-0,3570 LYMAN ST,LAS VEGAS,NV,89124,36.606059,-114.474182,50,1000,1000
F,Clark County Fire Station Number 78,1371572095,CM61-BEAD-NV-CLA-0027-0,375 BEACON ST,GOODSPRINGS,NV,89019,35.836081,-115.440818,50,1000,1000
F,Cold Creek Volunteer Fire Department,1080052051,CM61-BEAD-NV-EUR-0838-0,790 S MONROE ST,EUREKA,NV,89316,39.505827,-115.960792,50,1000,1000
P,CORDERO PINES,1371426857,CM61-BEAD-NV-CLA-0967-0,499 N LAMB BLVD,LAS VEGAS,NV,89110,36.170501,-115.082494,71,2000,2000
P,CORDERO PINES II,1371426857,CM61-BEAD-NV-CLA-0967-0,499 N LAMB BLVD,LAS VEGAS,NV,89110,36.170501,-115.082494,71,2000,2000
P,COTTONWOOD APTS.,1371561380,CM61-BEAD-NV-CLA-0871-0,350 E SURPRISE ST,SEARCHLIGHT,NV,89046,35.464322,-114.915062,50,2000,2000
P,COURTYARDS APT.,1316444265,CM61-BEAD-NV-NYE-0867-0,2831 E DANDELION ST,PAHRUMP,NV,89048,36.174582,-115.962285,50,1000,1000
P,CRESTMORE VILLAGE APT.  II,1120234043,CM61-BEAD-NV-DOU-1031-0,1336 ELGES AVE BLDG 2,GARDNERVILLE,NV,89410,38.934559,-119.732165,50,2500,2500
P,CRESTMORE VILLAGE APTS.,1120234046,CM61-BEAD-NV-DOU-1031-0,1330 STODICK PKWY,GARDNERVILLE,NV,89410,38.935058,-119.732322,50,2500,2500
P,DECATUR PINES,1370925489,CM61-BEAD-NV-CLA-0997-1,6725 N DECATUR BLVD,LAS VEGAS,NV,89131,36.282503,-115.207819,71,2200,2200
P,DECATUR PINES II,1370925424,CM61-BEAD-NV-CLA-0997-1,6741 N DECATUR BLVD,LAS VEGAS,NV,89131,36.283061,-115.208417,71,2200,2200
G,Department of Health and Human Services Nevada Division of Public and Behavioral Health (DPBH),1287895726,CM61-BEAD-NV-CAR-1011-1,675 FAIRVIEW DR,CARSON CITY,NV,89701,39.149491,-119.76156,71,5000,5000
P,DESERT APARTMENTS,1316450180,CM61-BEAD-NV-NYE-0860-1,1130 S MAIN ST BLDG 2,TONOPAH,NV,89049,38.059821,-117.217289,50,1000,1000
P,DESERT OASIS APTS,1371183491,CM61-BEAD-NV-CLA-0967-0,4445 DIAMOND HEAD DR,LAS VEGAS,NV,89110,36.170815,-115.07902,71,2000,2000
P,DESERT OASIS II,1371183491,CM61-BEAD-NV-CLA-0967-0,4445 DIAMOND HEAD DR,LAS VEGAS,NV,89110,36.170815,-115.07902,71,2000,2000
P,DESERT PINES I,1371085608,CM61-BEAD-NV-CLA-0967-0,3750 E BONANZA RD BLDG 2,LAS VEGAS,NV,89110,36.175329,-115.09429,71,2000,2000
P,DESERT PINES II,1371085608,CM61-BEAD-NV-CLA-0967-0,3750 E BONANZA RD BLDG 2,LAS VEGAS,NV,89110,36.175329,-115.09429,71,2000,2000
P,DESERT PINES III,1371085608,CM61-BEAD-NV-CLA-0967-0,3750 E BONANZA RD BLDG 2,LAS VEGAS,NV,89110,36.175329,-115.09429,71,2000,2000
P,DESERT PINES IV,1371085608,CM61-BEAD-NV-CLA-0967-0,3750 E BONANZA RD BLDG 2,LAS VEGAS,NV,89110,36.175329,-115.09429,71,2000,2000
P,DESERT SENIOR/DESERT PROPERTIES,1316450184,CM61-BEAD-NV-NYE-0860-1,1000 ERIE MAIN ST,TONOPAH,NV,89049,38.060268,-117.217562,50,1000,1000
P,DIANA ARMS II,1297883692,CM61-BEAD-NV-ELK-0794-0,1805 RUBY VIEW DR,ELKO,NV,89801,40.850018,-115.759453,50,2000,2000
P,DOROTHY KIDD MOBILE HOME PARK,1371302929,CM61-BEAD-NV-CLA-0967-0,3954 GENERAL GARFIELD,LAS VEGAS,NV,89122,36.11673,-115.05943,71,2000,2000
G,Douglas County District Court and Sheriff Office,1120244780,CM61-BEAD-NV-DOU-1044-0,1038 BUCKEYE RD BLDG 2,MINDEN,NV,89423,38.955891,-119.765331,50,2500,2500
F,East Fork FIre Station 1,1120244812,CM61-BEAD-NV-DOU-1044-0,1606 US HIGHWAY 395 N,MINDEN,NV,89423,38.954145,-119.764058,50,2500,2500
F,East Fork Fire Station 10,1120236321,CM61-BEAD-NV-DOU-0122-0,2008 PINTO CIR,GARDNERVILLE,NV,89410,38.896326,-119.676543,50,2500,2500
F,East Fork FIre Station 7,1120248893,CM61-BEAD-NV-DOU-1031-0,940 MITCH DR,GARDNERVILLE,NV,89460,38.90695,-119.731015,50,2500,2500
F,East Fork Fire Station 9,1120233913,CM61-BEAD-NV-DOU-0881-0,2249 FISH SPRINGS RD,GARDNERVILLE,NV,89410,38.935944,-119.655893,50,2500,2500
F,Elko County Emergency Medical Services,1297878066,CM61-BEAD-NV-ELK-0794-0,729 13TH ST,ELKO,NV,89801,40.84041,-115.759875,50,2000,2000
C,Elko County Social Services Department,1297877600,CM61-BEAD-NV-ELK-0794-0,875 RAILROAD ST,ELKO,NV,89801,40.835129,-115.759107,50,2000,2000
F,Elko Fire Station 3,1297883130,CM61-BEAD-NV-ELK-0794-0,875 S 5TH ST,ELKO,NV,89801,40.827925,-115.748594,50,2000,2000
F,Elko Parks and Recreation Department,1297877669,CM61-BEAD-NV-ELK-0794-0,725 RAILROAD ST,ELKO,NV,89801,40.834113,-115.760429,50,2000,2000
P,ERNIE CRAGIN TERRACE,1370856388,CM61-BEAD-NV-CLA-0967-0,78 N 28TH ST,LAS VEGAS,NV,89101,36.161992,-115.111226,71,2000,2000
P,ESCONDIDO APTS,1371018016,CM61-BEAD-NV-CLA-0967-0,5258 MARYLAND PKWY,LAS VEGAS,NV,89119,36.09557,-115.136856,71,2000,2000
F,Euclid Fire Department,1108935424,CM61-BEAD-NV-ESM-0144-1,369 EUCLID AVE,GOLDFIELD,NV,89013,37.705737,-117.235384,50,2000,2000
G,Eureka County Courthouse,1080055876,CM61-BEAD-NV-EUR-0838-0,10 S MAIN ST,EUREKA,NV,89316,39.512175,-115.961183,50,1000,1000
F,Eureka County Justice Facility,1080055883,CM61-BEAD-NV-EUR-0838-0,411 N MAIN ST,EUREKA,NV,89316,39.516955,-115.962381,50,1000,1000
F,Eureka Fire Department,1080051740,CM61-BEAD-NV-EUR-0838-0,260 N MAIN ST,EUREKA,NV,89316,39.515132,-115.962436,50,1000,1000
H,Eureka Medical Center,1080051863,CM61-BEAD-NV-EUR-0838-0,180 S MAIN ST,EUREKA,NV,89316,39.510939,-115.960885,50,1000,1000
P,EVA GARCIA MENDOZA,1371422055,CM61-BEAD-NV-CLA-0967-0,1950 N WALNUT RD,LAS VEGAS,NV,89115,36.193285,-115.088288,71,2000,2000
L,Fernley Branch Library,1103996283,CM61-BEAD-NV-LYO-1038-0,575 SILVERLACE BLVD,FERNLEY,NV,89408,39.60549,-119.240591,50,5000,5000
F,Fire station,1316447322,CM61-BEAD-NV-NYE-0853-0,374 W MAIN ST,MANHATTAN,NV,89022,38.538438,-117.072385,50,1000,1000
F,Fire station,1316451036,CM61-BEAD-NV-NYE-0116-0,3595 E CLARK ST,AMARGOSA VLY,NV,89020,36.411759,-116.420002,50,1000,1000
F,Fire Station,1351298722,CM61-BEAD-NV-WAS-0063-1,10575 SILVER LAKE RD,RENO,NV,89506,39.625498,-119.883717,71,5000,5000
F,Fire Station 10 - Las Vegas Fire and Rescue,1371033707,CM61-BEAD-NV-CLA-0967-0,1501 S MARTIN L KING BLVD,LAS VEGAS,NV,89102,36.154493,-115.163678,71,2000,2000
F,Fire Station 10 - Las Vegas Fire and Rescue - Bldg 2,1371033693,CM61-BEAD-NV-CLA-0967-0,1501 S MARTIN L KING BLVD BLDG 2,LAS VEGAS,NV,89102,36.154132,-115.163674,71,2000,2000
F,Fire Station 103 - Las Vegas Fire and Rescue,1371474387,CM61-BEAD-NV-CLA-0970-1,190 UPLAND BLVD,LAS VEGAS,NV,89107,36.173141,-115.222958,40,2000,2000
F,Fire Station 25,1351358271,CM61-BEAD-NV-WAS-1005-1,400 STAMPMILL DR,WADSWORTH,NV,89442,39.617556,-119.311249,50,5000,5000
F,Fire Station 3 - Las Vegas Fire and Rescue,1371315929,CM61-BEAD-NV-CLA-0967-0,2645 W WASHINGTON AVE,LAS VEGAS,NV,89106,36.180664,-115.177139,71,2000,2000
F,Fire Station 47 - Las Vegas Fire and Rescue,1371605565,CM61-BEAD-NV-CLA-0970-1,91 RIDGE PINE ST,LAS VEGAS,NV,89138,36.18182,-115.349727,40,2000,2000
F,Fire Station 5 - Las Vegas Fire and Rescue,1371170651,CM61-BEAD-NV-CLA-0967-0,984 HINSON ST,LAS VEGAS,NV,89107,36.160518,-115.195733,71,2000,2000
F,Fire Station 53,1287884628,CM61-BEAD-NV-CAR-1011-1,4649 SNYDER AVE,CARSON CITY,NV,89701,39.125262,-119.767594,71,5000,5000
P,FLAMINGO PINES II SENIOR APTS,1371076152,CM61-BEAD-NV-CLA-0970-1,8710 W FLAMINGO RD,LAS VEGAS,NV,89147,36.115994,-115.282028,40,2000,2000
P,FLAMINGO PINES III,1371076152,CM61-BEAD-NV-CLA-0970-1,8710 W FLAMINGO RD,LAS VEGAS,NV,89147,36.115994,-115.282028,40,2000,2000
P,FLAMINGO PINES SR APTS,1371076152,CM61-BEAD-NV-CLA-0970-1,8710 W FLAMINGO RD,LAS VEGAS,NV,89147,36.115994,-115.282028,40,2000,2000
P,FROST YASMER ESTATES,1287893895,CM61-BEAD-NV-CAR-1011-1,1009 E FIFTH ST,CARSON CITY,NV,89701,39.160876,-119.757851,71,5000,5000
F,Galena Volunteer Fire Department,1351377587,CM61-BEAD-NV-WAS-0919-0,16255 MOUNT ROSE HWY BLDG 2,RENO,NV,89511,39.378948,-119.832088,71,5000,5000
F,Gerlach General Improvement District,1351356988,CM61-BEAD-NV-WAS-0966-0,395 E SUNSET BLVD,GERLACH,NV,89412,40.652819,-119.355598,50,2500,2500
F,Grass Valley Volunteer Fire Department,1030196115,CM61-BEAD-NV-PER-0767-1,5505 KATRINA DR,WINNEMUCCA,NV,89445,40.831361,-117.746728,50,5000,5000
F,Great Basin Children's Advocacy Center,1297878042,CM61-BEAD-NV-ELK-0794-0,1401 COLLEGE AVE,ELKO,NV,89801,40.841703,-115.757626,50,2000,2000
P,GREEN ACRE PARK APTS,1297877698,CM61-BEAD-NV-ELK-0794-0,851 COURT ST,ELKO,NV,89801,40.836215,-115.761486,50,2000,2000
P,HARMON PINES SR APTS.,1371313774,CM61-BEAD-NV-CLA-0970-1,6000 W HARMON AVE,LAS VEGAS,NV,89103,36.108217,-115.22333,40,2000,2000
P,HARRISON PINES I & II SR APTS,1371446133,CM61-BEAD-NV-CLA-0967-0,5045 HARRISON DR,LAS VEGAS,NV,89120,36.098164,-115.113595,71,2000,2000
P,HARRISON PINES III,1371114334,CM61-BEAD-NV-CLA-0967-0,5070 HARRISON DR,LAS VEGAS,NV,89120,36.097112,-115.111452,71,2000,2000
P,HARRY LEVY GARDENS,1371315926,CM61-BEAD-NV-CLA-0967-0,2525 W WASHINGTON AVE,LAS VEGAS,NV,89106,36.180488,-115.175733,71,2000,2000
F,Hawthorne Volunteer Fire Department,1137089022,CM61-BEAD-NV-MIN-0031-0,24 MINERAL RD,HAWTHORNE,NV,89415,38.516809,-118.62526,50,5000,5000
P,HELP GENESIS @ OWENS,1370974076,CM61-BEAD-NV-CLA-0967-0,1581 N MAIN ST,LAS VEGAS,NV,89101,36.187653,-115.136492,71,2000,2000
P,HELP RENAISSANCE,1370974078,CM61-BEAD-NV-CLA-0967-0,1455 N MAIN ST,LAS VEGAS,NV,89101,36.186835,-115.137152,71,2000,2000
P,HERITAGE PARK APTS. (NYE COMMUNITIES),1316421541,CM61-BEAD-NV-NYE-0620-0,1225 CROWELL AVE,BEATTY,NV,89003,36.901742,-116.765669,50,1000,1000
P,HIGHLAND TERRACE,1050916133,CM61-BEAD-NV-WHI-0991-1,115 W HIGHLAND DR,ELY,NV,89301,39.243078,-114.865561,50,1000,1000
P,HOMESTEAD (NYE COMMUNITIES BUNDLED WITH HERITAGE PK.),1316461440,CM61-BEAD-NV-NYE-0867-0,4451 N BLAGG RD,PAHRUMP,NV,89060,36.285039,-116.014051,50,1000,1000
P,HORIZON CREST,1370974069,CM61-BEAD-NV-CLA-0967-0,6 W OWENS AVE BLDG 2,LAS VEGAS,NV,89106,36.188154,-115.138282,71,2000,2000
P,HULLUM HOMES,1393938340,CM61-BEAD-NV-CLA-0967-0,4980 E OWENS AVE,LAS VEGAS,NV,89110,36.18957,-115.064711,71,2000,2000
F,Jacob's Well Youth Center,1095969670,CM61-BEAD-NV-LAN-1000-1,101 CARSON RD,BATTLE MTN,NV,89820,40.633249,-116.949733,50,1000,1000
P,JAMES DOWN TOWERS,1370976711,CM61-BEAD-NV-CLA-0970-1,5000 ALTA DR,LAS VEGAS,NV,89107,36.16705,-115.209424,40,2000,2000
P,JANICE BROOKS BAY,1370851288,CM61-BEAD-NV-CLA-0967-0,5201 WALNUT AVE,LAS VEGAS,NV,89110,36.170915,-115.060033,71,2000,2000
P,JAYCEE MOBILE HOME PARK,1370845781,CM61-BEAD-NV-CLA-0970-1,5805 W HARMON AVE,LAS VEGAS,NV,89103,36.105617,-115.220666,40,2000,2000
P,JOHN CHAMBERS APTS,1371342297,CM61-BEAD-NV-CLA-0967-0,2030 CAMEL ST,LAS VEGAS,NV,89115,36.196409,-115.090834,71,2000,2000
P,JOHN MARVEL I AND II,1095969395,CM61-BEAD-NV-LAN-1000-1,145 PALMER ST,BATTLE MTN,NV,89820,40.63934,-116.942116,50,1000,1000
P,JONES GARDENS,1370841508,CM61-BEAD-NV-CLA-0967-0,1750 MARION DR,LAS VEGAS,NV,89115,36.191491,-115.069675,71,2000,2000
P,KINGSBURY VILLAGE,1120244085,CM61-BEAD-NV-DOU-1044-0,1770 PINEWOOD DR,MINDEN,NV,89423,38.962545,-119.782178,50,2500,2500
G,Lander County Courthouse & Administration,1095968837,CM61-BEAD-NV-LAN-1000-1,65 STATE ROUTE 305,BATTLE MTN,NV,89820,40.631586,-116.953647,50,1000,1000
F,Lander County Fire Department,1095969224,CM61-BEAD-NV-LAN-1000-1,15 E 2ND ST,BATTLE MOUNTAIN,NV,89820,40.641497,-116.935025,50,1000,1000
F,Lander County Sheriff's Office,1095968922,CM61-BEAD-NV-LAN-1000-1,39 STATE ROUTE 305,BATTLE MOUNTAIN,NV,89820,40.631135,-116.949725,50,1000,1000
F,Las Vegas Metropolitan Police Department,1371001552,CM61-BEAD-NV-CLA-0967-0,1851 STELLA LAKE ST,LAS VEGAS,NV,89106,36.192648,-115.164861,71,2000,2000
F,Las Vegas Metropolitan Police Department,1371146362,CM61-BEAD-NV-CLA-0967-0,750 SIERRA VISTA DR,LAS VEGAS,NV,89169,36.12769,-115.14672,71,2000,2000
