type,entity_name,location_id,entity_number,cms_number,frn,project_id,address_primary,city,state,zip_code,latitude,longitude,classification,technology,upload_speed_anticipated,download_speed_anticipated,low_latency
F,ACADIAN AMBULANCE SERVICE INCORPORATED - LAFAYETTE SOUTHSIDE STATION,1304305867,,,,CM61-BEAD-LA-2260,2800 VEROT SCHOOL RD,LAFAYETTE,LA,70508,30.144901275634766,-92.03289031982422,0,50,1000,1000,1
S,"Delgado Community College, Clover",1354007541,,,,CM61-BEAD-LA-3975,1600 Constance Street,New Orleans,LA,70130,29.932011,-90.071802,0,40,1000,1000,1
S,EVANGEL CHRISTIAN ACADEMY,1355475743,,,20650032,CM61-BEAD-LA-2260,7425 BRDACRES RD,SHREVEPORT,LA,71129,32.43423843383789,-93.87116241455078,0,50,1000,1000,1
S,CENTRAL ELEMENTARY SCHOOL,1144383730,,,,CM61-BEAD-LA-2247,5701 HIGHWAY 531,DUBBERLY,LA,71024,32.4809455871582,-93.23612213134766,0,50,1000,1000,1
S,ALEXANDRIA COUNTRY DAY SCHOOL,1119579039,,,,CM61-BEAD-LA-2260,5603 BAYOU RAPIDES RD,ALEXANDRIA,LA,71303,31.303760528564453,-92.50180053710938,0,50,1000,1000,1
H,NEW ORLEANS EAST HOSPITAL,1354014580,,,,CM61-BEAD-LA-3975,5620 READ BOULEVARD,NEW ORLEANS,LA,70127,30.029050827026367,-89.97530364990234,0,40,1000,1000,1
F,OUACHITA PARISH FIRE PROTECTION DISTRICT 1 STATION 4 - KING STREET,1310661493,,,,CM61-BEAD-LA-2247,514 KING ST,WEST MONROE,LA,71292,32.465553283691406,-92.17078399658203,0,50,1000,1000,1
S,LULING ELEMENTARY SCHOOL,1064539153,,,,CM61-BEAD-LA-2247,904 SUGARHOUSE RD,LULING,LA,70070,29.92247200012207,-90.36805725097656,0,50,1000,1000,1
F,CENTRAL POLICE DEPARTMENT,1345761020,,,,CM61-BEAD-LA-2260,9339 SULLIVAN RD,BATON ROUGE,LA,70818,30.535001754760742,-91.02938079833984,0,50,1000,1000,1
H,Ochsner Community Health Brees Family Center,1387737257,,19-0036,,CM61-BEAD-LA-3975,5950 BULLARD AVE,NEW ORLEANS,LA,70128,30.04266728,-89.95872354,0,40,1000,1000,1
S,CHURCH POINT HIGH SCHOOL,1293138134,,,11980893,CM61-BEAD-LA-2260,305 E LOUGARRE ST,CHURCH POINT,LA,70525,30.4006404876709,-92.20838928222656,0,50,1000,1000,1
S,LITTLE OAK MIDDLE SCHOOL,1302956901,,,11792819,CM61-BEAD-LA-3894,59241 REBEL DR,SLIDELL,LA,70461,30.290016174316406,-89.73920440673828,0,71,1000,1000,1
S,RENEW ACCELERATED HIGH SCHOOL,1353977211,,,,CM61-BEAD-LA-2247,3649 LAUREL ST,NEW ORLEANS,LA,70115,29.920011520385742,-90.09236145019531,0,50,1000,1000,1
S,UPPER LITTLE CAILLOU ELEMENTARY SCHOOL,1413604395,,,,CM61-BEAD-LA-2260,4824 HIGHWAY 56,CHAUVIN,LA,70344,29.497081756591797,-90.57683563232422,0,50,1000,1000,1
S,DIESEL DRIVING ACADEMY-SHREVEPORT,1355448443,,,,CM61-BEAD-LA-2260,3523 GREENWOOD RD,SHREVEPORT,LA,71109,32.47611618041992,-93.79486846923828,0,50,1000,1000,1
S,D'ARBONNE WOODS CHARTER SCHOOL,1053570186,,,,CM61-BEAD-LA-2331,1002 STERLINGTON HIGHWAY,FARMERVILLE,LA,71241,32.769432067871094,-92.39079284667969,0,50,1000,1000,1
S,VIDALIA HIGH SCHOOL,1287210478,,,,CM61-BEAD-LA-2260,2201 MURRAY DR,VIDALIA,LA,71373,31.574987411499023,-91.45343780517578,0,50,1000,1000,1
S,BISHOP NOLAND EPISCOPAL DAY SCHOOL,1305835981,,,,CM61-BEAD-LA-2260,803 DIVISION ST,LAKE CHARLES,LA,70601,30.23093605041504,-93.20903015136719,0,50,1000,1000,1
S,GLEN VIEW ELEMENTARY SCHOOL,1091127572,,,,CM61-BEAD-LA-2260,1601 BITTERSWEET,RUSTON,LA,71270,32.5501708984375,-92.65922546386719,0,50,1000,1000,1
H,SAINT BERNARD PARISH HEALTH UNIT,1039113099,,,,CM61-BEAD-LA-2260,8201 W JUDGE PEREZ DR,CHALMETTE,LA,70043,29.956039428710938,-89.98206329345703,0,50,1000,1000,1
F,LAPLACE VOLUNTEER FIRE DEPARTMENT,1073765536,,,,CM61-BEAD-LA-2260,521 HEMLOCK ST,LA PLACE,LA,70068,30.070526123046875,-90.49615478515625,0,50,1000,1000,1
L,ARKLATEX LOG LIBRARY INC,1355502746,,,,CM61-BEAD-LA-2260,400 TRAVIS ST STE 500,SHREVEPORT,LA,71101,32.51448059082031,-93.75000762939453,0,50,1000,1000,1
S,CENTRAL BAPTIST SCHOOL,1345777475,,,,CM61-BEAD-LA-2260,17017 FLORIDA BLVD,BATON ROUGE,LA,70819,30.46923828125,-91.00119018554688,0,50,1000,1000,1
F,SHREVEPORT FIRE DEPARTMENT STATION 17,1355432562,,,,CM61-BEAD-LA-2260,2890 SLAND PARK DR,SHREVEPORT,LA,71118,32.39702224731445,-93.80770874023438,0,50,1000,1000,1
F,BIENVILLE FIRE DISTRICT 6,1077409624,,,,CM61-BEAD-LA-2221,9179 STATE HIGHWAY 4,CASTOR,LA,71016,32.25587844848633,-93.16217041015625,0,50,1000,1000,1
S,THEODORE ROOSEVELT MIDDLE SCHOOL,1357700701,,,,CM61-BEAD-LA-2247,3315 MAINE AVE,KENNER,LA,70065,30.016429901123047,-90.22992706298828,0,50,1000,1000,1
S,CLAIBORNE ACADEMY,1072751688,,,14368690,CM61-BEAD-LA-2331,6741 HIGHWAY 79,HAYNESVILLE,LA,71038,32.86246109008789,-93.07853698730469,0,50,1000,1000,1
S,FOUNDATION PREPARATORY ACADEMY,1354003848,,,,CM61-BEAD-LA-3975,3121 ST BERNARD AVE.,NEW ORLEANS,LA,70119,29.989723205566406,-90.0745620727539,0,40,1000,1000,1
L,RAPIDES PARISH LIBRARY,1119577125,,,,CM61-BEAD-LA-2260,5416 PROVINE PL,ALEXANDRIA,LA,71303,31.292701721191406,-92.49944305419922,0,50,1000,1000,1
L,TIMOTHY M BRANCH,1287265258,,,,CM61-BEAD-LA-2305,1080 MENGLE RD,RAYVILLE,LA,71269,32.4122200012207,-91.66302490234375,0,50,1000,1000,1
H,Ochsner Health Center - Jefferson Place,1063525561,,19-0202,,CM61-BEAD-LA-2260,805 STATE ST,JENNINGS,LA,70546,30.22756277,-92.65714048,0,50,1000,1000,1
S,KATHARINE DREXEL ELEMENTARY SCHOOL,1304314405,,,,CM61-BEAD-LA-2260,409 ST DEPORRES AVE,BROUSSARD,LA,70518,30.13983917236328,-91.95687103271484,0,50,1000,1000,1
F,SAINT TAMMANY PARISH FIRE PROTECTION DISTRICT 5 STATION 3,1303071214,,,,CM61-BEAD-LA-2260,13003 STATE HIGHWAY 1077,FOLSOM,LA,70437,30.58509635925293,-90.194091796875,0,50,1000,1000,1
F,SHREVEPORT EMERGENCY MEDICAL SERVICES STATION 17,1355432562,,,,CM61-BEAD-LA-2260,2890 SLAND PARK DR,SHREVEPORT,LA,71118,32.39702224731445,-93.80770874023438,0,50,1000,1000,1
F,NEW ROADS VOLUNTEER FIRE DEPARTMENT STATION 2,1025424691,,,,CM61-BEAD-LA-2260,801 NEW RDS ST,NEW ROADS,LA,70760,30.700559616088867,-91.4352035522461,0,50,1000,1000,1
S,CLARA HALL ACCELERATED SCHOOL,1310689331,,,,CM61-BEAD-LA-2260,1000 PLUM ST,MONROE,LA,71202,32.48955535888672,-92.09992980957031,0,50,1000,1000,1
S,CLAIBORNE ELEMENTARY SCHOOL,1345735697,,,,CM61-BEAD-LA-2260,4707 DENHAM ST,BATON ROUGE,LA,70805,30.50551986694336,-91.14253997802734,0,50,1000,1000,1
H,FELICIANA FORENSIC FACILITY,1059504291,,,,CM61-BEAD-LA-2247,4502 HIGHWAY 951,JACKSON,LA,70748,30.832820892333984,-91.21183776855469,0,50,1000,1000,1
H,JACKSON PARISH HEALTH UNIT,1032740826,,,,CM61-BEAD-LA-2260,228 BOND ST,JONESBORO,LA,71251,32.237247467041016,-92.69053649902344,0,50,1000,1000,1
F,ACADIA PARISH FIRE PROTECTION DISTRICT 9 - NORTH SUBSTATION,1293166501,,,,CM61-BEAD-LA-2260,104 OAK ST,RAYNE,LA,70578,30.24753761291504,-92.26915740966797,0,50,1000,1000,1
S,R. V. KERR ELEMENTARY SCHOOL,1315858203,,,,CM61-BEAD-LA-2260,1700 AIRLINE DR,BOSSIER CITY,LA,71112,32.518306732177734,-93.69444274902344,0,50,1000,1000,1
H,NATCHITOCHES URGENT CARE CLINIC,1118349362,,,,CM61-BEAD-LA-2260,615 BIENVILLE ST,NATCHITOCHES,LA,71457,31.751270294189453,-93.07781219482422,0,50,1000,1000,1
L,JEFFERSON PARISH LIBRARY WESTBANK LIBRARIES,1357761238,,,,CM61-BEAD-LA-2247,635 FOURTH ST,WESTWEGO,LA,70094,29.907546997070312,-90.1409912109375,0,50,1000,1000,1
F,RICHARD VOLUNTEER FIRE DEPARTMENT,1293141154,,,,CM61-BEAD-LA-2260,1740 CHARLENE HIGHWAY,CHURCH POINT,LA,70525,30.42666244506836,-92.31226348876953,0,50,1000,1000,1
C,NORDC HQ,1353900254,,,,CM61-BEAD-LA-3975,5420 FRANKLIN AVE BLDG 2,NEW ORLEANS,LA,70122.0,30.01551157,-90.05196786,0,40,1000,1000,1
F,EAST SIDE VOLUNTEER FIRE DEPARTMENT STATION 92,1345629137,,,,CM61-BEAD-LA-2260,17505 S HARRELLS FERRY RD,BATON ROUGE,LA,70816,30.42308235168457,-90.99238586425781,0,50,1000,1000,1
S,BELLE PLACE MIDDLE SCHOOL,1293227932,,,,CM61-BEAD-LA-2260,4110 LOREAUVILLE RD,NEW IBERIA,LA,70563,30.010616302490234,-91.75493621826172,0,50,1000,1000,1
F,SAINT TAMMANY PARISH FIRE DISTRICT 1 STATION 17,1302967722,,,,CM61-BEAD-LA-3894,309 JOHNNY F SMITH BOULEVARD,SLIDELL,LA,70460,30.319332122802734,-89.76881408691406,0,71,1000,1000,1
S,SOUTHDOWNS SCHOOL,1345630452,,,11785193,CM61-BEAD-LA-2260,2050 HOOD AVE,BATON ROUGE,LA,70808,30.4169864654541,-91.15113067626953,0,50,1000,1000,1
S,NEW ORLEANS ADVENTIST ACADEMY,1387733062,,,,CM61-BEAD-LA-3975,4500 GAWAIN DR,NEW ORLEANS,LA,70127,30.016681671142578,-89.98660278320312,0,40,1000,1000,1
S,BERWICK JUNIOR HIGH SCHOOL,1109265455,,,,CM61-BEAD-LA-2300,3955 HIGHWAY 182,BERWICK,LA,70342,29.711551666259766,-91.23934173583984,0,50,1000,1000,1
F,EAST FELICIANA PARISH SHERIFFS DEPARTMENT,1059504183,,,,CM61-BEAD-LA-2247,11315 BANK ST,CLINTON,LA,70722,30.8662109375,-91.01842498779297,0,50,1000,1000,1
S,"Central LA Technical Community College, Alexandria Campus",1119568766,,,,CM61-BEAD-LA-2260,516 MURRAY ST,ALEXANDRIA,LA,71301,31.31039605,-92.44671734,0,50,1000,1000,1
H,SAINT LANDRY PARISH HEALTH UNIT,1095512698,,,,CM61-BEAD-LA-2260,308 W BLOCH ST,OPELOUSAS,LA,70570,30.53858757019043,-92.08509826660156,0,50,1000,1000,1
H,SHRINERS HOSPITALS FOR CHILDREN,1355514723,,,,CM61-BEAD-LA-2260,3100 SAMFORD AVE,SHREVEPORT,LA,71103,32.48108673095703,-93.75788879394531,0,50,1000,1000,1
H,KPC PROMISE HOSPITAL OF BATON ROUGE,1345703049,,,,CM61-BEAD-LA-2260,5130 MANCUSO LANE,BATON ROUGE,LA,70809,30.397098541259766,-91.10277557373047,0,50,1000,1000,1
S,BOSSIER PS FOR TECHNOLOGY & INNOVATIVE LEARNING,1315892610,,,,CM61-BEAD-LA-2260,1020 INNOVATION DR,BOSSIER CITY,LA,71111,32.56135177612305,-93.68248748779297,0,50,1000,1000,1
F,LIVINGSTON PARISH FIRE PROTECTION DISTRICT 4 - CENTRAL STATION 1,1061978310,,,,CM61-BEAD-LA-2260,29758 S PALMETTO ST,WALKER,LA,70785,30.48506736755371,-90.8758316040039,0,50,1000,1000,1
S,WHITE HILLS ELEMENTARY SCHOOL,1345743373,,,11785698,CM61-BEAD-LA-2260,5300 BENTLEY DR,BAKER,LA,70714,30.59295082092285,-91.14002227783203,0,50,1000,1000,1
H,SHREVEPORT VETERANS CENTER,1355490180,,,,CM61-BEAD-LA-2260,2800 YOUREE DR,SHREVEPORT,LA,71104,32.48430252075195,-93.7254409790039,0,50,1000,1000,1
S,GIBSON ELEMENTARY SCHOOL,1293456681,,,11928991,CM61-BEAD-LA-2260,6357 S BAYOU BLACK DR,GIBSON,LA,70356,29.686132431030273,-90.99264526367188,0,50,1000,1000,1
S,ALBANY HIGH SCHOOL,1061956680,,,,CM61-BEAD-LA-2260,29710 MULBERRY ST,ALBANY,LA,70711,30.499343872070312,-90.58777618408203,0,50,1000,1000,1
F,NATCHITOCHES PARISH FIRE DISTRICT 6,1118343984,,,,CM61-BEAD-LA-2260,114 MAGNOLIA AVE,NATCHITOCHES,LA,71457,31.745712280273438,-93.08305358886719,0,50,1000,1000,1
H,Ochsner Health Center - Lakeview,1354016070,,19-0036,,CM61-BEAD-LA-3975,"101 W. Robert E. Lee Blvd., Suite 201",New Orleans,LA,70124,30.0207201,-90.1139281,0,40,1000,1000,1
F,ETHEL VOLUNTEER FIRE DEPARTMENT,1059505721,,,,CM61-BEAD-LA-2247,9320 STATE HIGHWAY 955 E,ETHEL,LA,70730,30.771137237548828,-91.07118225097656,0,50,1000,1000,1
H,LOUISIANA DEPARTMENT OF HEALTH AND HOSPITALS,1345755224,,,,CM61-BEAD-LA-2260,628 N 4TH ST,BATON ROUGE,LA,70802,30.452991485595703,-91.1865005493164,0,50,1000,1000,1
H,ABBEVILLE GENERAL HOSPITAL,1387788107,,,,CM61-BEAD-LA-4225,118 N HOSPITAL DR,ABBEVILLE,LA,70510,29.973398208618164,-92.10844421386719,0,50,1000,1000,1
S,MAGNOLIA WOODS ELEMENTARY SCHOOL,1345656675,,,11781150,CM61-BEAD-LA-2260,760 MAXINE DR,BATON ROUGE,LA,70808,30.38197135925293,-91.12347412109375,0,50,1000,1000,1
S,ST ALOYSIUS SCHOOL,1413581689,,,,CM61-BEAD-LA-2260,2025 STUART AVE,BATON ROUGE,LA,70808,30.41455078125,-91.14973449707031,0,50,1000,1000,1
L,TERREBONNE PARISH LIBRARY SYSTEM,1293473839,,,,CM61-BEAD-LA-2260,778 GRAND CAILLOU RD,HOUMA,LA,70363,29.584827423095703,-90.69921112060547,0,50,1000,1000,1
H,CHRISTUS HEALTH SHREVEPORT - BOSSIER,1355509803,,,,CM61-BEAD-LA-2260,1453 E BERT KOUNS INDUSTRIAL LOOP,SHREVEPORT,LA,71105,32.42515182495117,-93.71806335449219,0,50,1000,1000,1
S,I.A. LEWIS SCHOOL,1091118313,,,,CM61-BEAD-LA-2260,1000 MITCHELL AVE,RUSTON,LA,71270,32.51544952392578,-92.65142059326172,0,50,1000,1000,1
S,"Louisiana Delta Community College, Lake Providence Campus",1088013183,,,,CM61-BEAD-LA-2331,313 KORESH ST,LAKE PROVIDENCE,LA,71254,32.80398131,-91.18993466,0,50,1000,1000,1
S,"LA Delta Community College, Women's Learning Center at Louisiana Baptist Children's Home",1310666455,,,,CM61-BEAD-LA-2260,7200 DESIARD ST,MONROE,LA,71203,32.52190211,-92.05048471,0,50,1000,1000,1
F,BEL AIRE COVE VOLUNTEER FIRE DEPARTMENT,1014484409,,,,CM61-BEAD-LA-2221,1638 BELAIRE COVE RD,VILLE PLATTE,LA,70586,30.65370750427246,-92.22581481933594,0,50,1000,1000,1
